"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: IDMP Mapping","Mapping: RIM Mapping"
"ManufacturedItemDefinition","ManufacturedItemDefinition","","","",0,*,"","","","null {[]} {[]}
","The definition and characteristics of a medicinal manufactured item, such as a tablet or capsule, as contained in a packaged medicinal product","The definition and characteristics of a medicinal manufactured item, such as a tablet or capsule, as contained in a packaged medicinal product.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition",0,*,"","","administrative.medication","Manufactured Item","Entity, Role, or Act"
"ManufacturedItemDefinition.id","ManufacturedItemDefinition.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"ManufacturedItemDefinition.meta","ManufacturedItemDefinition.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.implicitRules","ManufacturedItemDefinition.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of its narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.language","ManufacturedItemDefinition.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"required","IETF language tag for a human language","http://hl7.org/fhir/ValueSet/all-languages|5.0.0","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.text","ManufacturedItemDefinition.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have a narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"ManufacturedItemDefinition.contained","ManufacturedItemDefinition.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, nor can they have their own independent transaction scope. This is allowed to be a Parameters resource if and only if it is referenced by a resource that provides context/meaning.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags in their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"dom-2
dom-4dom-3dom-5","","N/A"
"ManufacturedItemDefinition.extension","ManufacturedItemDefinition.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedItemDefinition.modifierExtension","ManufacturedItemDefinition.modifierExtension","","extensions
user content","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedItemDefinition.identifier","ManufacturedItemDefinition.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Unique identifier","Unique identifier.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.class","n/a"
"ManufacturedItemDefinition.status","ManufacturedItemDefinition.status","","","",1,1,"","Y","Y","code {[]} {[]}
","draft | active | retired | unknown","The status of this item. Enables tracking the life-cycle of the content.","Allows filtering of manufactured items that are appropriate for use versus not.","","","","","","","","",,"required","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status|5.0.0","",,,,"ManufacturedItemDefinition.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"ManufacturedItemDefinition.name","ManufacturedItemDefinition.name","","","",0,1,"","","Y","string {[]} {[]}
","A descriptive name applied to this item","A descriptive name applied to this item.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.class","n/a"
"ManufacturedItemDefinition.manufacturedDoseForm","ManufacturedItemDefinition.manufacturedDoseForm","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Dose form of the manufactured item (before preparing for administration)","EMA IG 4.11.3","","","","","","","","","",,"required","","http://unicom-project.eu/fhir/ValueSet/pharmaceutical-doseform-vs","",,,,"ManufacturedItemDefinition.manufacturedDoseForm",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Manufactured Item.Manufactured Dose Form"
"ManufacturedItemDefinition.unitOfPresentation","ManufacturedItemDefinition.unitOfPresentation","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Unit of presentation of the manufactured item (before preparing for administration)","EMA IG 4.11.1","","","","","","","","","",,"required","","http://unicom-project.eu/fhir/ValueSet/unit-of-presentation-vs","",,,,"ManufacturedItemDefinition.unitOfPresentation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Manufactured Item.Unit of Presentation"
"ManufacturedItemDefinition.manufacturer","ManufacturedItemDefinition.manufacturer","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Manufacturer of the item, one of several possible","Manufacturer of the item, one of several possible.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.manufacturer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Manufactured Item.Manufacturer / Establishment (Organisation)"
"ManufacturedItemDefinition.marketingStatus","ManufacturedItemDefinition.marketingStatus","","","",0,*,"","","Y","MarketingStatus {[]} {[]}
","Allows specifying that an item is on the market for sale, or that it is not available, and the dates and locations associated","Allows specifying that an item is on the market for sale, or that it is not available, and the dates and locations associated.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.marketingStatus",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"ManufacturedItemDefinition.ingredient","ManufacturedItemDefinition.ingredient","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The ingredients of this manufactured item. Only needed if these are not specified by incoming references from the Ingredient resource","The ingredients of this manufactured item. This is only needed if the ingredients are not specified by incoming references from the Ingredient resource.","","","","","","","","","",,"example","This value set includes all substance codes from SNOMED CT - provided as an exemplar value set.","http://hl7.org/fhir/ValueSet/substance-codes","",,,,"ManufacturedItemDefinition.ingredient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Manufactured Item.Ingredient (see also FHIR Ingredient resource)"
"ManufacturedItemDefinition.property","ManufacturedItemDefinition.property","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","General characteristics of this item","General characteristics of this item.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.property",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Manufactured Item.Physical Characteristics"
"ManufacturedItemDefinition.property.id","ManufacturedItemDefinition.property.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedItemDefinition.property.extension","ManufacturedItemDefinition.property.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedItemDefinition.property.modifierExtension","ManufacturedItemDefinition.property.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedItemDefinition.property.type","ManufacturedItemDefinition.property.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","A code expressing the type of characteristic","A code expressing the type of characteristic.","","","","","","","","","",,"example","This value set includes all observable entity codes from SNOMED CT - provided as an exemplar value set.","http://hl7.org/fhir/ValueSet/product-characteristic-codes","",,,,"ManufacturedItemDefinition.property.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Physical Characteristics, all attributes"
"ManufacturedItemDefinition.property.value[x]","ManufacturedItemDefinition.property.value[x]","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
Quantity {[]} {[]}date {[]} {[]}boolean {[]} {[]}markdown {[]} {[]}Attachment {[]} {[]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Binary]]}","A value for the characteristic","A value for the characteristic.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.property.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Physical Characteristics, attribute's value"
"ManufacturedItemDefinition.component","ManufacturedItemDefinition.component","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Physical parts of the manufactured item, that it is intrisically made from. This is distinct from the ingredients that are part of its chemical makeup","Physical parts of the manufactured item, that it is intrisically made from. This is distinct from the ingredients that are part of its chemical makeup.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Manufactured Item.Physical Characteristics"
"ManufacturedItemDefinition.component.id","ManufacturedItemDefinition.component.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedItemDefinition.component.extension","ManufacturedItemDefinition.component.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedItemDefinition.component.modifierExtension","ManufacturedItemDefinition.component.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedItemDefinition.component.type","ManufacturedItemDefinition.component.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Defining type of the component e.g. shell, layer, ink","Defining type of the component e.g. shell, layer, ink.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Physical Characteristics, all attributes"
"ManufacturedItemDefinition.component.function","ManufacturedItemDefinition.component.function","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The function of this component within the item e.g. delivers active ingredient, masks taste","The function of this component within the item e.g. delivers active ingredient, masks taste.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.function",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.amount","ManufacturedItemDefinition.component.amount","","","",0,*,"","","Y","Quantity {[]} {[]}
","The measurable amount of total quantity of all substances in the component, expressable in different ways (e.g. by mass or volume)","The measurable amount of total quantity of all substances in the component, expressable in different ways (e.g. by mass or volume).","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.amount",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent","ManufacturedItemDefinition.component.constituent","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","A reference to a constituent of the manufactured item as a whole, linked here so that its component location within the item can be indicated. This not where the item's ingredient are primarily stated (for which see Ingredient.for or ManufacturedItemDefinition.ingredient)","A reference to a constituent of the manufactured item as a whole, linked here so that its component location within the item can be indicated. This not where the item's ingredient are primarily stated (for which see Ingredient.for or ManufacturedItemDefinition.ingredient).","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent.id","ManufacturedItemDefinition.component.constituent.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedItemDefinition.component.constituent.extension","ManufacturedItemDefinition.component.constituent.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedItemDefinition.component.constituent.modifierExtension","ManufacturedItemDefinition.component.constituent.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedItemDefinition.component.constituent.amount","ManufacturedItemDefinition.component.constituent.amount","","","",0,*,"","","Y","Quantity {[]} {[]}
","The measurable amount of the substance, expressable in different ways (e.g. by mass or volume)","The measurable amount of the substance, expressable in different ways (e.g. by mass or volume).","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent.amount",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent.location","ManufacturedItemDefinition.component.constituent.location","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The physical location of the constituent/ingredient within the component","The physical location of the constituent/ingredient within the component. Example â€“ if the component is the bead in the capsule, then the location would be where the ingredient resides within the product part â€“ intragranular, extra-granular, etc.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent.location",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent.function","ManufacturedItemDefinition.component.constituent.function","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The function of this constituent within the component e.g. binder","The function of this constituent within the component e.g. binder.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent.function",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent.hasIngredient","ManufacturedItemDefinition.component.constituent.hasIngredient","","","",0,*,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Ingredient]]}
","The ingredient that is the constituent of the given component","The ingredient that is the constituent of the given component.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent.hasIngredient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.property","ManufacturedItemDefinition.component.property","","","",0,*,"","","Y","null {[]} {[]}
","General characteristics of this component","General characteristics of this component.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.property",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.component","ManufacturedItemDefinition.component.component","","","",0,*,"","","Y","null {[]} {[]}
","A component that this component contains or is made from","A component that this component contains or is made from.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.component",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
